14-14u,100.0,79.08
13-13u,100.0,64.28999999999999
12-12u,100.0,52.980000000000004
14-13s,100.0,50.19
13-14s,100.0,50.19
11-11u,89.03999999999999,44.519999999999996
14-12s,92.64000000000001,46.32000000000001
12-14s,92.64000000000001,46.32000000000001
13-12s,88.80000000000001,44.400000000000006
12-13s,88.80000000000001,44.400000000000006
14-11s,87.06,43.53
11-14s,87.06,43.53
13-11s,83.64000000000001,41.82000000000001
11-13s,83.64000000000001,41.82000000000001
14-10s,83.22,41.61
10-14s,83.22,41.61
12-11s,81.30000000000001,40.650000000000006
11-12s,81.30000000000001,40.650000000000006
14-13u,79.74,39.87
13-14u,79.74,39.87
10-10u,76.56,38.28
13-10s,80.03999999999999,40.019999999999996
10-13s,80.03999999999999,40.019999999999996
12-10s,78.24,39.12
10-12s,78.24,39.12
11-10s,78.42,39.21
10-11s,78.42,39.21
9-9u,66.30000000000001,33.150000000000006
14-12u,70.68,35.34
12-14u,70.68,35.34
14-9s,71.22,35.61
9-14s,71.22,35.61
13-12u,67.80000000000001,33.900000000000006
12-13u,67.80000000000001,33.900000000000006
13-9s,67.32,33.66
9-13s,67.32,33.66
10-9s,67.97999999999999,33.989999999999995
9-10s,67.97999999999999,33.989999999999995
14-8s,68.03999999999999,34.019999999999996
8-14s,68.03999999999999,34.019999999999996
11-9s,65.76,32.88
9-11s,65.76,32.88
12-9s,65.34,32.67
9-12s,65.34,32.67
8-8u,59.760000000000005,29.880000000000003
14-5s,67.38,33.69
5-14s,67.38,33.69
14-11u,64.19999999999999,32.099999999999994
11-14u,64.19999999999999,32.099999999999994
14-7s,65.58,32.79
7-14s,65.58,32.79
14-4s,65.28,32.64
4-14s,65.28,32.64
14-3s,63.06,31.53
3-14s,63.06,31.53
13-11u,61.800000000000004,30.900000000000002
11-13u,61.800000000000004,30.900000000000002
14-6s,63.72,31.86
6-14s,63.72,31.86
12-11u,60.42,30.21
11-12u,60.42,30.21
7-7u,54.84,27.42
14-2s,60.12,30.06
2-14s,60.12,30.06
13-8s,60.17999999999999,30.089999999999996
8-13s,60.17999999999999,30.089999999999996
10-8s,60.300000000000004,30.150000000000002
8-10s,60.300000000000004,30.150000000000002
9-8s,58.14,29.07
8-9s,58.14,29.07
14-10u,59.58,29.79
10-14u,59.58,29.79
11-8s,57.96,28.98
8-11s,57.96,28.98
12-8s,57.66,28.83
8-12s,57.66,28.83
13-7s,57.84,28.92
7-13s,57.84,28.92
13-10u,57.599999999999994,28.799999999999997
10-13u,57.599999999999994,28.799999999999997
11-10u,57.84,28.92
10-11u,57.84,28.92
6-6u,51.06,25.53
12-10u,56.699999999999996,28.349999999999998
10-12u,56.699999999999996,28.349999999999998
13-6s,56.099999999999994,28.049999999999997
6-13s,56.099999999999994,28.049999999999997
8-7s,54.17999999999999,27.089999999999996
7-8s,54.17999999999999,27.089999999999996
13-5s,54.54,27.27
5-13s,54.54,27.27
9-7s,52.86,26.43
7-9s,52.86,26.43
5-5u,47.28,23.64
10-7s,52.92,26.46
